@relation Megasena

@attribute dezena_1 numeric
@attribute dezena_2 numeric
@attribute dezena_3 numeric
@attribute dezena_4 numeric
@attribute dezena_5 numeric
@attribute dezena_6 numeric
@attribute acumulado {S,N}

@data
6,15,19,24,31,32,S
13,27,31,34,47,58,S
8,17,46,48,56,60,S
2,21,27,29,32,38,S
2,10,15,18,29,39,N
8,9,15,38,41,60,S
1,4,6,8,25,28,S
5,24,25,26,42,60,S
3,20,29,40,44,58,S
4,16,31,36,54,55,S
7,15,20,21,23,29,N
9,17,18,32,53,55,S
3,4,21,22,28,32,S
18,24,36,44,55,58,S
29,38,39,49,53,58,S
12,15,27,37,51,60,S
3,7,25,31,40,58,N
5,10,16,23,26,27,N
29,40,43,44,45,47,S
4,6,12,37,41,42,N
2,4,17,33,48,55,N
4,27,36,37,49,52,S
7,13,15,34,42,48,S
1,6,12,29,34,58,N
2,3,13,37,46,54,S
2,11,21,30,35,52,S
14,19,40,47,55,58,S
7,9,12,19,20,41,N
8,9,25,41,57,60,S
3,8,17,26,28,49,S
5,9,11,20,25,60,N
6,19,31,34,51,56,S
9,24,44,51,55,58,S
4,13,23,29,46,47,S
1,2,19,32,39,52,S
2,33,42,43,51,55,N
5,21,31,39,40,56,S
2,7,8,18,40,45,S
18,22,28,29,39,53,S
10,27,28,29,40,52,S
6,10,17,33,51,53,S
18,20,33,44,47,60,S
20,26,34,51,52,54,S
5,16,17,20,24,32,N
1,8,23,37,54,57,S
24,33,40,43,46,49,N
15,16,26,29,43,57,S
5,6,17,33,39,54,S
1,3,18,20,42,49,S
1,11,26,51,59,60,S
10,27,36,39,41,52,N
4,36,44,46,53,56,S
6,7,28,35,43,51,S
2,20,24,27,36,52,S
1,6,28,39,44,55,S
10,12,36,44,54,57,N
13,18,25,30,46,51,S
14,21,25,48,51,60,S
10,11,13,35,39,58,S
1,5,6,17,31,50,S
28,40,42,54,55,57,N
1,2,8,10,14,48,S
3,16,21,28,38,57,N
2,5,17,29,34,52,N
14,24,26,33,45,60,S
7,10,11,13,43,57,S
8,11,15,16,52,57,N
15,27,34,42,49,53,N
13,14,18,27,41,60,S
12,15,16,20,27,32,N
6,8,38,50,53,59,N
2,3,4,15,49,59,S
18,20,24,45,51,57,N
1,12,14,16,37,45,N
1,3,16,18,41,42,N
9,21,23,30,41,56,S
2,8,23,33,37,55,S
1,22,44,47,49,50,S
4,16,19,28,29,49,S
7,19,30,39,43,57,S
6,10,25,32,43,49,S
4,10,14,25,28,56,S
25,27,44,47,48,57,S
9,17,28,45,49,53,N
5,8,16,23,41,53,N
5,7,37,43,53,54,S
9,18,19,43,47,54,S
8,25,32,34,36,44,S
3,10,23,29,47,50,S
10,12,16,21,39,53,S
4,10,19,32,33,42,S
5,6,9,11,18,37,N
3,6,34,41,43,45,S
5,12,24,28,36,37,N
11,18,20,34,41,56,S
9,16,24,29,52,56,S
4,17,38,40,50,55,S
10,20,23,28,42,43,S
5,20,29,33,40,59,S
12,21,39,40,50,55,S
2,4,6,10,23,45,N
3,20,28,32,36,46,S
6,24,31,35,42,57,S
2,18,20,32,37,48,S
9,20,24,36,40,42,S
17,23,24,27,49,56,S
1,9,30,33,34,40,S
19,23,27,38,41,49,S
9,10,21,36,41,48,N
10,16,21,23,27,36,S
3,13,14,16,41,52,S
1,17,21,33,48,56,N
11,20,21,30,50,52,N
14,31,35,38,44,55,S
7,17,18,33,41,42,S
6,7,10,12,24,57,N
9,11,23,35,46,51,S
10,19,28,41,55,56,S
2,3,6,35,49,58,S
1,15,28,43,50,57,N
4,15,43,47,50,60,S
3,9,20,36,53,54,S
7,9,39,43,44,60,S
6,8,11,14,29,52,S
6,14,26,28,42,45,N
4,9,25,32,33,43,N
4,32,34,43,52,58,S
3,6,29,36,47,59,N
3,15,16,22,25,54,N
18,30,37,41,44,50,S
4,9,13,17,20,47,N
1,6,17,27,35,40,S
8,20,21,43,44,55,S
10,34,41,44,45,54,S
7,35,40,44,50,55,S
4,17,18,54,56,59,N
26,44,46,49,55,56,S
4,14,19,39,45,60,S
7,11,16,18,33,49,S
3,7,29,33,42,56,N
4,31,42,52,57,59,S
5,8,14,24,29,30,N
8,16,24,39,52,60,N
12,17,19,32,47,55,S
5,18,23,32,49,54,S
1,8,16,34,36,49,S
12,27,30,33,52,55,S
5,10,16,21,39,58,N
9,22,29,36,51,56,S
4,5,6,19,23,39,N
7,31,32,34,37,43,S
19,21,25,28,43,50,S
2,4,15,18,25,36,S
9,28,31,36,37,42,S
10,27,40,46,49,58,N
9,37,40,50,58,60,S
3,15,26,28,31,58,S
3,30,35,44,47,60,S
1,10,18,19,44,49,S
3,16,19,24,33,60,N
6,10,28,33,34,53,S
6,23,31,33,39,52,S
27,28,29,32,48,55,S
7,8,23,36,46,54,S
15,17,28,31,35,52,S
1,4,14,21,25,51,S
14,20,29,36,44,47,S
6,17,19,34,46,55,S
4,12,14,21,26,28,S
20,28,40,41,51,58,S
9,24,31,44,48,49,S
9,29,41,43,46,49,N
23,30,31,54,55,60,S
5,6,34,46,53,55,S
1,3,5,18,40,48,N
4,7,42,47,48,51,S
18,22,25,30,31,41,S
5,17,31,47,51,53,S
6,14,17,26,40,49,S
20,40,42,52,54,60,S
22,28,30,31,35,54,S
20,28,43,51,52,56,S
4,5,20,47,53,56,S
1,11,14,23,42,48,N
11,13,27,34,46,49,N
3,10,13,30,41,57,S
6,12,28,43,52,56,S
5,7,24,25,36,47,S
6,7,39,47,51,52,S
2,3,12,16,37,47,S
11,14,21,30,33,49,S
33,38,47,50,52,55,N
1,22,30,45,50,53,S
5,22,28,47,59,60,S
12,30,34,44,57,60,S
18,20,26,31,44,45,S
2,4,29,52,56,60,S
5,10,12,20,29,37,N
4,9,23,27,28,30,S
2,10,21,35,43,54,S
7,8,12,13,15,41,N
8,17,19,40,43,49,S
9,20,44,52,59,60,S
14,21,27,31,35,50,S
10,11,19,37,53,56,N
3,11,16,22,25,33,S
17,20,49,52,57,59,S
2,9,12,14,32,54,S
6,13,24,41,50,53,S
17,20,26,27,55,57,N
3,6,19,20,58,60,S
36,37,39,49,54,60,S
22,29,36,41,48,58,S
16,19,23,28,39,58,S
3,10,11,39,54,56,N
28,32,36,49,55,60,S
8,9,11,48,53,60,S
7,9,30,33,38,55,S
5,10,25,39,43,52,S
4,13,14,26,29,35,S
2,6,11,36,37,48,S
9,11,22,32,35,56,S
1,12,20,26,45,54,S
5,14,17,30,35,38,S
3,7,9,10,31,34,S
3,15,31,36,48,54,N
2,23,33,35,40,50,S
3,11,26,34,45,53,S
5,29,30,36,41,48,S
10,25,30,47,50,51,S
4,7,13,25,27,58,S
5,11,15,28,43,50,S
10,23,29,31,33,46,S
2,33,34,37,41,53,S
5,15,43,48,52,55,N
5,14,37,43,46,58,S
5,8,19,26,48,57,S
15,17,35,42,47,48,S
19,21,27,41,53,57,N
31,32,34,40,50,55,N
10,31,40,50,55,56,S
4,28,30,31,35,54,N
10,23,36,50,52,60,S
12,30,32,40,49,60,S
9,12,19,22,35,37,S
5,20,23,27,39,49,N
8,11,12,15,18,22,S
22,29,32,49,54,59,S
3,5,19,24,30,35,S
10,16,20,26,49,55,S
3,8,17,20,38,53,S
5,18,21,26,39,59,N
13,14,24,39,40,45,S
1,15,37,39,48,52,S
8,9,12,22,42,49,S
10,13,25,26,28,45,S
11,34,45,48,51,54,S
9,19,23,29,32,57,S
2,8,15,25,34,45,S
2,10,34,37,43,50,N
10,37,40,43,57,59,S
3,9,11,24,36,51,S
20,33,34,57,58,60,S
3,8,36,40,51,53,N
1,2,24,40,51,59,S
5,27,34,46,48,52,S
2,14,35,39,49,51,S
2,17,23,43,44,51,S
7,9,14,18,29,39,S
5,23,38,39,51,54,S
26,33,35,38,43,53,S
2,15,26,27,30,52,N
11,26,47,55,57,59,S
4,6,39,46,54,58,S
19,23,29,31,41,53,S
10,14,22,41,42,53,S
5,7,8,9,11,39,N
4,18,26,36,41,53,S
4,17,36,37,51,56,S
13,19,24,46,50,60,S
6,10,33,39,42,60,S
4,20,30,41,47,58,S
3,16,17,44,53,60,S
4,5,15,17,27,51,N
5,9,24,31,33,42,S
1,2,39,48,52,59,S
13,26,27,28,35,52,S
13,19,26,40,58,60,S
13,17,21,39,40,59,S
2,14,48,55,58,60,S
5,9,11,22,36,40,N
12,18,31,50,59,60,S
4,16,24,25,30,56,S
8,14,29,35,36,40,S
6,10,16,20,29,54,S
8,11,14,30,36,38,N
4,23,39,52,55,56,S
8,30,40,44,59,60,S
20,21,26,29,31,36,S
10,15,28,31,33,38,S
2,5,28,33,51,52,S
11,12,31,33,42,52,S
17,30,32,40,42,56,S
1,3,8,13,27,52,N
2,3,14,23,34,50,S
18,40,47,54,57,58,S
9,11,23,30,31,54,S
1,13,24,40,44,50,S
4,6,29,48,50,51,S
2,5,15,20,43,57,N
10,14,43,46,49,53,S
2,5,11,13,56,59,S
14,15,30,53,55,60,N
8,22,32,43,53,56,S
43,44,46,53,54,59,N
3,16,23,25,51,56,N
2,10,15,44,56,57,S
8,19,46,51,52,54,S
7,14,15,20,23,35,S
3,5,11,36,44,46,S
6,19,22,34,43,45,S
7,10,32,43,47,54,N
7,8,24,30,33,47,S
7,12,25,26,32,39,S
8,9,14,32,53,59,S
7,9,12,19,45,54,S
5,20,22,28,29,30,S
1,4,26,39,43,49,S
38,42,44,52,58,60,S
1,27,29,38,50,52,N
8,13,25,34,42,48,N
6,13,29,30,35,37,S
11,14,16,28,34,46,S
4,5,16,18,27,51,S
17,24,25,38,41,55,S
10,47,51,53,59,60,N
10,21,43,47,53,55,S
6,15,25,37,48,55,S
18,29,31,44,51,57,S
2,5,16,20,35,43,S
10,11,18,19,30,50,S
16,35,36,41,52,54,S
10,23,27,43,53,59,N
7,8,11,39,43,50,S
8,18,21,30,48,49,S
9,24,26,39,46,57,N
3,5,13,24,35,59,N
25,26,28,33,42,51,S
1,6,8,10,25,27,S
3,14,20,22,49,51,N
1,32,38,47,51,54,N
2,20,35,38,45,51,S
1,18,19,33,43,60,N
7,10,14,16,54,59,S
13,21,30,36,59,60,S
1,11,20,37,40,52,S
5,7,42,46,50,60,S
19,20,31,42,51,56,S
8,19,21,36,42,59,N
7,17,19,26,40,50,S
12,32,40,47,48,59,N
9,19,45,46,54,56,S
7,12,38,39,45,56,S
9,19,20,50,51,60,N
3,4,29,36,45,55,N
13,33,36,41,50,56,S
9,18,24,35,36,59,S
3,11,13,27,32,47,N
2,8,38,42,48,49,N
11,17,24,39,46,49,S
6,13,21,22,31,46,S
1,19,24,26,52,55,S
3,15,16,35,37,47,S
6,10,12,17,28,53,S
2,16,17,25,50,54,N
23,27,30,37,38,44,S
2,12,19,22,36,58,N
25,35,42,45,52,57,S
10,13,20,40,44,53,S
2,24,26,32,35,50,S
12,27,37,44,54,59,N
2,7,13,29,38,43,S
10,21,26,29,32,38,N
5,16,24,32,38,46,S
2,4,5,27,49,59,N
3,4,8,11,47,49,S
3,36,40,46,58,60,S
7,27,39,52,55,57,N
6,21,28,31,33,43,S
14,25,28,45,53,58,N
9,11,21,49,53,54,S
2,5,12,13,25,35,N
2,5,17,18,54,59,S
5,12,36,45,50,58,S
3,14,52,55,57,60,S
11,27,30,40,44,57,N
5,13,16,17,27,55,S
7,9,23,44,46,55,S
2,18,30,31,45,56,N
27,35,36,37,42,59,N
12,28,38,39,51,56,S
18,27,32,43,50,52,S
22,29,31,43,50,54,S
1,16,28,39,44,57,N
4,19,27,28,29,31,N
7,12,19,34,40,53,S
2,8,12,28,33,43,S
4,18,24,28,39,44,N
11,16,24,35,46,50,S
5,11,17,19,44,48,S
29,48,52,54,55,58,S
3,4,7,15,27,56,S
14,32,33,40,42,51,S
34,39,43,56,57,60,N
9,26,34,43,53,54,S
11,12,25,33,48,54,N
2,9,10,21,27,38,S
13,16,20,26,39,42,S
7,8,27,31,32,51,S
3,14,17,32,37,39,N
7,10,17,24,38,57,S
18,29,31,42,43,53,S
4,19,20,24,39,43,S
6,19,26,47,50,58,S
18,29,40,42,50,54,S
8,12,32,44,46,48,N
6,8,24,37,41,45,N
13,15,33,45,54,55,S
21,37,44,46,49,57,S
26,36,40,46,49,51,S
3,19,22,24,35,49,N
5,12,45,52,56,59,N
7,8,10,12,27,56,S
17,21,30,48,52,58,S
2,11,16,18,36,45,S
19,31,39,44,53,59,N
2,5,13,17,39,44,N
3,8,21,25,27,43,N
3,7,15,29,38,60,S
7,16,29,36,38,50,N
6,15,18,24,30,44,S
8,39,44,47,53,56,S
7,15,19,34,37,55,N
9,12,22,39,48,60,S
2,19,22,30,46,52,S
5,9,13,33,40,54,S
16,24,25,42,45,59,S
4,13,14,40,46,52,N
3,18,22,34,55,58,N
4,15,45,47,50,52,S
1,13,23,24,30,57,S
22,23,26,37,38,48,S
7,14,31,33,36,49,N
2,34,35,42,43,55,S
2,6,28,36,51,56,N
17,29,36,38,53,56,S
12,13,20,30,34,49,S
12,20,32,48,52,54,S
2,5,27,28,48,55,S
5,19,32,41,49,58,N
6,13,24,32,40,51,N
1,19,28,33,39,41,S
1,25,29,36,56,60,S
2,6,18,30,52,56,S
26,27,31,38,44,45,S
2,10,11,33,52,57,S
2,14,28,50,57,58,S
6,13,25,32,47,57,S
4,27,29,41,48,52,S
14,32,33,36,41,52,N
6,8,14,26,36,40,S
15,16,34,42,46,59,S
2,4,16,33,44,51,S
2,6,30,34,35,52,N
4,14,27,38,50,52,S
31,36,44,47,49,54,S
5,9,25,27,38,40,N
13,22,28,29,40,48,S
2,24,32,50,54,59,S
6,11,16,26,44,53,S
4,6,13,34,37,51,N
23,24,26,41,52,53,N
1,2,10,19,20,37,N
4,13,35,54,56,58,S
2,34,36,38,51,55,N
10,25,33,36,40,58,S
12,18,23,25,45,50,S
2,12,33,57,58,60,S
1,2,3,11,28,43,N
12,13,37,44,48,51,N
4,10,26,37,47,57,S
3,4,46,50,56,59,S
10,27,37,40,47,55,S
21,48,50,54,57,60,S
9,14,21,26,36,52,N
17,27,28,40,44,55,S
6,9,11,34,41,53,S
1,35,39,53,55,56,S
17,20,24,29,49,53,S
4,27,30,36,54,59,S
1,6,10,34,40,54,N
4,9,17,23,28,53,S
4,22,25,38,45,51,N
1,15,24,26,28,48,N
1,3,31,32,43,52,S
6,26,45,50,56,60,S
4,9,18,44,46,48,N
7,12,24,27,30,49,N
2,14,24,28,35,50,S
4,13,14,44,49,57,S
14,18,28,41,47,54,S
4,5,7,27,45,58,S
6,11,27,40,46,49,S
8,22,26,33,37,54,N
10,18,31,43,57,59,N
1,7,13,29,37,54,N
6,22,43,51,52,57,S
3,4,16,22,36,42,S
2,10,12,30,41,42,S
1,2,6,9,16,32,S
3,14,18,34,42,49,S
24,46,50,51,52,56,S
17,18,30,35,39,58,N
1,6,27,46,51,59,S
1,8,17,44,46,53,N
4,8,17,29,31,45,S
11,28,35,42,46,58,S
17,28,31,56,57,58,S
16,17,23,42,59,60,N
4,13,14,18,49,59,N
4,18,20,34,45,60,N
7,17,38,45,52,56,S
8,9,28,41,48,55,S
5,6,15,23,56,59,S
7,31,35,36,46,48,S
11,14,18,30,33,39,N
5,8,23,32,33,56,S
22,25,31,39,41,44,S
2,12,40,46,52,53,S
2,26,30,35,46,54,S
10,16,28,47,51,59,N
16,32,36,42,44,48,S
4,13,15,19,36,58,S
11,15,17,34,35,49,N
10,16,28,33,48,53,N
12,13,24,41,42,44,S
2,11,23,31,42,44,N
13,21,29,34,47,57,S
1,12,28,29,34,48,N
8,9,25,41,54,55,S
13,18,29,32,50,58,S
6,10,33,50,51,56,N
23,27,35,52,53,57,N
8,10,20,26,49,58,S
3,17,27,32,47,54,S
5,24,37,44,49,58,S
7,11,12,30,39,57,S
7,15,20,23,30,41,S
2,21,30,35,45,50,S
4,6,11,24,45,48,N
4,17,38,44,53,60,S
2,9,10,18,21,28,N
19,41,42,44,47,54,S
10,12,16,20,32,53,N
9,13,21,27,36,56,N
2,15,19,21,23,38,N
7,18,24,26,39,46,S
20,21,22,29,46,60,S
30,32,49,50,52,53,S
2,5,23,33,52,59,S
1,4,7,10,11,52,S
4,16,18,31,45,46,S
7,15,17,31,42,54,S
8,12,16,29,37,58,N
20,30,36,38,47,53,N
23,26,28,54,55,60,S
10,12,23,37,47,51,S
1,6,13,20,36,43,N
25,38,44,46,53,54,N
18,37,39,41,43,51,S
5,6,11,32,36,60,N
2,15,30,38,48,53,S
19,24,25,28,42,58,S
5,15,18,31,42,53,S
15,18,24,42,46,56,S
3,29,32,46,55,60,S
20,27,42,45,46,47,S
7,16,21,35,36,38,S
6,27,28,33,46,48,S
1,4,5,14,45,56,N
13,15,21,26,30,46,S
11,14,25,32,51,59,N
3,6,30,37,53,56,S
25,34,40,49,51,60,S
1,6,14,17,33,36,N
14,15,25,30,31,34,S
1,4,13,17,38,48,N
2,9,17,18,45,47,S
3,22,27,28,50,54,S
2,43,47,48,49,55,S
8,39,43,46,47,58,S
8,19,21,30,52,56,S
23,29,32,36,45,49,N
4,5,11,19,41,51,S
7,20,34,40,44,55,S
4,10,23,33,38,55,N
31,36,38,41,42,49,S
4,9,17,18,21,38,N
6,7,8,23,43,53,S
2,5,8,42,46,59,N
1,5,7,10,12,45,N
5,10,16,44,50,52,S
29,31,36,42,47,53,S
3,10,15,35,36,58,N
9,23,32,35,46,57,N
8,10,24,45,56,60,S
8,12,22,35,40,44,N
13,20,27,31,53,60,S
2,21,24,27,40,51,S
9,19,21,30,31,42,S
1,15,37,42,46,54,N
7,31,32,41,51,52,S
5,6,17,43,54,59,S
2,6,13,26,53,60,S
1,4,9,35,36,53,S
24,28,47,50,51,58,S
6,13,17,36,42,51,N
4,18,31,44,46,49,S
14,17,21,27,43,49,N
5,20,26,31,33,44,S
28,31,40,42,46,58,S
3,23,26,31,47,54,N
9,20,24,43,51,52,N
5,8,17,42,46,47,S
13,23,27,34,38,57,S
10,22,24,38,39,49,N
4,5,7,21,45,53,S
33,43,49,50,56,59,S
2,27,32,41,47,58,S
11,22,36,40,45,52,S
3,5,14,35,43,52,S
20,26,32,41,45,57,N
26,29,34,38,50,60,S
4,20,24,35,47,59,S
1,7,30,43,44,54,S
4,29,44,47,48,60,S
6,18,24,27,56,59,N
1,2,11,13,36,49,S
9,10,23,33,44,51,N
8,23,28,30,32,51,S
19,26,33,35,51,52,S
1,5,24,47,55,56,S
1,2,38,41,42,58,S
16,29,34,35,49,51,N
2,6,18,23,31,46,N
23,29,30,33,46,51,S
3,23,42,43,47,60,S
16,19,20,28,37,60,S
10,13,16,22,34,60,S
8,18,21,31,37,38,S
19,23,34,40,41,58,S
12,17,23,38,53,54,N
15,16,18,20,22,48,S
24,33,38,42,44,54,S
17,23,29,38,57,60,S
8,27,35,38,41,44,S
7,24,26,28,44,57,S
1,21,22,27,32,45,S
7,16,33,42,50,58,S
7,24,28,46,53,56,N
4,6,11,43,54,56,S
7,10,14,37,45,54,N
7,11,19,23,40,49,N
4,10,20,33,37,49,S
8,17,34,38,42,51,N
13,16,27,43,48,58,S
10,14,25,29,33,57,N
18,20,27,40,49,55,S
8,21,23,29,36,48,N
1,5,11,16,20,56,N
1,2,23,27,45,51,S
7,12,24,44,51,56,N
5,40,47,52,55,57,S
28,29,31,45,48,49,S
1,17,19,30,33,47,S
21,27,31,45,55,56,S
1,3,5,10,20,42,N
5,10,23,24,35,47,S
22,30,42,50,58,59,S
3,18,34,35,36,56,N
1,2,11,37,48,51,S
10,15,28,33,51,52,N
9,11,17,19,35,52,S
1,2,27,28,46,47,N
23,37,38,46,47,51,N
1,6,8,11,33,50,N
7,13,35,37,39,51,S
4,12,32,33,34,48,N
9,12,18,31,39,50,S
3,18,31,39,46,51,S
9,14,37,44,46,55,N
15,24,37,46,49,58,N
18,23,30,32,42,56,S
2,5,13,27,41,53,N
21,24,26,35,45,53,S
1,10,24,39,45,58,S
11,13,14,27,44,56,S
5,15,18,19,21,38,S
20,29,34,37,45,57,N
24,36,38,43,44,58,S
1,12,17,31,37,46,N
8,23,30,51,53,58,S
11,13,24,28,44,45,S
1,6,10,30,33,38,S
15,18,41,48,50,58,N
3,9,18,32,40,56,N
17,19,33,35,39,52,N
3,23,26,35,39,49,S
1,7,11,32,51,59,S
25,27,29,37,50,51,S
12,31,34,36,48,56,N
7,16,20,27,36,52,S
17,29,32,38,45,50,S
7,19,30,35,42,47,S
7,21,28,56,58,59,S
22,26,38,39,45,50,S
2,12,19,29,50,59,S
3,10,16,23,27,29,N
2,8,24,36,51,52,S
16,20,35,40,53,60,S
2,25,36,41,42,53,N
2,9,16,37,44,58,S
4,30,31,32,47,53,S
1,22,31,34,44,54,S
18,23,31,39,49,57,S
4,12,19,33,36,38,N
9,23,39,41,49,58,S
14,27,30,46,52,60,S
27,33,37,39,58,60,S
16,18,26,30,31,34,S
3,10,42,49,54,57,S
4,6,19,20,40,41,N
3,8,28,39,42,59,S
7,14,23,43,44,53,S
1,10,17,24,42,51,N
5,18,27,43,49,59,S
25,34,38,45,53,60,N
3,5,9,14,41,46,N
12,17,25,29,41,52,S
6,16,33,34,45,46,S
12,13,24,29,32,41,S
5,8,42,50,51,59,S
12,28,37,46,48,53,N
9,10,17,32,34,46,S
10,15,25,38,47,53,S
15,18,20,32,48,49,N
11,19,21,23,27,52,S
4,10,29,31,34,35,S
9,12,14,29,42,56,S
9,13,18,47,52,60,S
6,18,37,40,41,58,S
6,33,34,48,53,59,N
2,10,13,41,49,53,S
3,13,14,29,33,43,S
15,17,20,31,41,48,S
15,22,23,42,51,57,S
9,36,37,53,55,60,S
8,15,29,35,45,54,N
20,27,30,31,40,53,S
2,5,8,18,30,48,S
6,13,14,28,35,45,S
13,25,28,37,43,56,S
6,11,16,23,36,42,S
2,14,21,22,51,60,S
10,24,25,36,47,48,S
9,10,36,50,53,55,S
26,32,42,45,55,59,S
9,12,15,21,31,36,S
6,7,29,39,41,55,N
1,6,28,37,56,58,S
22,23,41,46,53,60,S
16,26,35,39,44,45,S
5,7,11,34,35,50,S
32,37,44,47,54,60,S
11,26,27,30,34,41,S
2,20,27,28,32,38,S
12,19,27,39,41,45,N
15,30,39,41,45,59,S
1,12,20,30,52,60,S
2,18,31,42,51,56,N
10,11,14,19,39,48,S
4,19,38,44,52,55,S
4,10,38,40,45,48,S
12,25,30,39,56,57,S
6,20,22,31,33,34,S
1,8,22,49,52,53,N
6,18,34,47,52,57,S
4,6,16,18,21,38,S
4,15,26,30,54,55,S
5,11,27,41,42,54,S
2,6,8,21,25,34,S
1,5,13,25,26,29,N
3,13,42,45,56,59,S
6,25,43,57,58,59,S
11,13,26,27,28,50,S
12,18,46,50,53,55,S
2,16,17,18,41,47,S
13,14,22,54,56,58,N
1,5,34,37,40,60,N
30,42,47,50,55,58,S
22,23,34,48,53,54,N
2,13,14,35,54,57,S
2,9,23,28,45,53,S
1,3,4,39,51,53,S
6,11,16,19,31,56,N
6,19,34,43,45,54,S
2,6,13,14,17,44,S
4,8,29,38,49,50,S
20,21,28,48,50,59,S
17,22,27,31,49,57,S
11,20,35,42,55,58,S
1,15,16,22,25,43,S
2,14,20,25,41,45,S
9,12,23,24,46,54,S
1,10,25,43,50,56,N
5,17,32,35,37,57,S
20,23,32,34,37,45,S
9,11,13,15,19,51,S
9,11,27,46,51,53,S
8,11,25,39,41,60,N
5,10,12,22,28,46,S
1,4,26,39,47,55,S
2,6,10,15,53,56,S
17,18,26,30,33,37,S
3,19,23,27,40,45,S
19,22,31,36,52,53,N
1,22,26,43,50,53,S
4,9,21,34,54,59,S
5,6,12,19,30,60,S
10,11,21,50,51,54,N
17,19,32,43,48,51,S
26,33,42,43,53,54,S
6,11,32,40,48,59,S
7,13,24,30,32,53,S
3,7,29,37,54,60,N
15,27,28,32,48,55,N
14,34,46,47,56,57,S
2,3,7,16,27,42,S
2,17,22,24,48,51,N
8,28,36,47,50,58,S
8,15,18,45,59,60,S
41,44,48,50,54,57,S
5,8,24,30,57,59,N
7,22,28,32,56,58,S
15,17,33,41,47,48,S
3,6,13,38,49,51,S
16,18,22,24,34,43,N
8,26,28,33,41,54,N
3,4,37,39,48,50,S
3,9,13,29,30,51,S
6,24,26,30,34,49,S
1,6,45,49,50,57,S
9,40,41,50,55,58,S
3,5,11,27,35,44,S
23,24,32,38,40,41,N
8,18,21,22,35,37,S
13,17,29,45,49,50,S
1,2,34,39,41,45,N
25,30,31,34,43,59,S
6,10,15,24,38,39,S
2,9,14,22,32,37,S
13,23,25,35,52,53,S
22,28,30,33,55,59,S
1,13,14,21,26,51,S
10,30,36,40,44,60,N
2,4,9,35,45,60,S
2,8,35,42,49,56,N
16,23,45,56,58,59,S
4,5,14,37,40,60,S
1,5,31,32,37,42,S
14,17,36,38,44,60,S
3,10,17,21,22,43,S
1,5,23,25,28,31,S
11,23,24,26,40,52,S
18,20,30,32,33,40,S
3,11,17,33,52,58,N
11,13,25,39,46,56,S
5,25,28,41,53,54,S
10,28,37,43,44,47,S
1,45,47,52,53,55,N
7,18,39,41,44,51,S
13,16,23,24,32,35,S
12,16,26,40,56,57,S
5,10,20,57,58,59,N
5,16,19,37,51,56,S
3,10,30,44,53,56,N
9,10,19,35,37,41,S
16,27,28,47,59,60,S
1,4,23,32,38,59,S
7,14,18,23,32,59,S
3,7,15,40,45,54,S
11,23,34,41,46,56,S
1,10,17,18,45,48,N
16,23,25,28,30,44,S
5,11,22,24,51,53,N
1,3,19,23,47,58,S
6,17,22,30,37,50,S
16,17,19,28,45,58,S
21,31,35,53,54,57,S
2,3,5,10,15,34,S
3,6,14,15,21,25,N
9,22,25,47,52,58,S
12,34,45,53,55,58,S
20,23,35,36,44,48,S
8,11,27,28,43,46,S
11,12,26,30,37,53,S
2,7,9,18,21,25,N
9,10,15,28,43,45,S
12,15,18,21,51,56,S
29,35,43,54,56,57,S
6,27,33,39,40,60,S
3,25,35,38,44,48,S
4,10,13,23,27,57,S
11,40,43,45,47,57,S
6,9,15,22,39,48,N
16,18,23,30,32,33,S
10,13,33,35,36,42,N
4,14,17,43,52,56,S
16,29,33,39,42,44,N
2,20,21,33,48,57,S
3,9,18,23,50,52,S
4,21,25,33,36,46,S
16,17,20,22,38,50,S
11,28,37,45,54,60,S
25,31,33,39,43,45,S
10,15,16,19,28,35,S
20,22,36,38,41,43,S
9,34,42,45,46,59,S
12,16,30,52,53,58,N
1,17,38,43,45,47,S
2,3,14,20,30,46,N
5,11,13,19,30,31,N
10,26,28,51,53,59,S
3,10,23,36,43,52,S
4,17,18,37,52,56,S
2,8,9,15,22,34,S
10,16,21,29,44,55,S
2,14,15,19,35,59,S
8,23,35,39,56,59,S
1,3,10,17,23,24,N
3,12,24,40,51,52,S
6,10,24,29,43,55,N
